Name_x,Amusement Park,Type_x,Design,Status_x,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions_x,Elements,Image URLs,Drop (ft),Duration_x,G-Force (),Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop_x,Unnamed: 0,year_introduced,Location,Park section,Coordinates,Status_y,Opening date,General statistics,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics,Cost,Height restriction,Website,Coordinates_1,Coordinates_2,Status_1,Status_2,Opening date_1,Opening date_2,Coordinates_3,Coordinates_4,Status_3,Status_4,Opening date_3,Opening date_4,Flash Pass Available,Closing date_1,Closing date_2,Closing date_3,Closing date_4,Fast Lane available,Location_1,Location_2,Location_3,Location_4,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Coordinates_5,Coordinates_6,Status_5,Status_6,Opening date_5,Opening date_6,Coordinates_7,Coordinates_8,Coordinates_9,Status_7,Status_8,Status_9,Opening date_7,Opening date_8,Opening date_9,Park section_1,Park section_2,Park section_3,Park section_4,Coordinates_10,Status_10,Opening date_10,Replaced by_1,Replaced by_2,Coordinates_11,Coordinates_12,Coordinates_13,Coordinates_14,Coordinates_15,Status_11,Status_12,Status_13,Status_14,Status_15,Opening date_11,Opening date_12,Opening date_13,Opening date_14,Opening date_15,Closing date_5,Closing date_6,Closing date_7,Closing date_8,Replaced by_3,Replaced by_4,Coordinates_16,Coordinates_17,Coordinates_18,Coordinates_19,Coordinates_20,Status_16,Status_17,Status_18,Status_19,Status_20,Opening date_16,Opening date_17,Opening date_18,Opening date_19,Opening date_20,Closing date_9,Closing date_10,Closing date_11,Closing date_12,Coordinates_21,Coordinates_22,Coordinates_23,Coordinates_24,Coordinates_25,Status_21,Status_22,Status_23,Status_24,Status_25,Opening date_21,Opening date_22,Opening date_23,Opening date_24,Opening date_25,Closing date_13,Closing date_14,Closing date_15,Closing date_16,Coordinates_26,Coordinates_27,Coordinates_28,Coordinates_29,Coordinates_30,Status_26,Status_27,Status_28,Status_29,Status_30,Opening date_26,Opening date_27,Opening date_28,Opening date_29,Opening date_30,Closing date_17,Closing date_18,Closing date_19,Closing date_20,Coordinates_31,Coordinates_32,Coordinates_33,Coordinates_34,Coordinates_35,Coordinates_36,Status_31,Status_32,Status_33,Status_34,Status_35,Status_36,Opening date_31,Opening date_32,Opening date_33,Opening date_34,Opening date_35,Opening date_36,Closing date_21,Closing date_22,Closing date_23,Closing date_24,Closing date_25,Name_y,Cost_1,Cost_2,Cost_3,Cost_4,Flash Pass available,Soft opening date,Park section_5,Park section_6,Replaced by_5,Replaced by_6,Park section_7,Park section_8,Park section_9,Replaced by_7,Replaced by_8,Replaced by_9,Acceleration,Park section_10,Park section_11,Park section_12,Park section_13,Park section_14,Park section_15,Park section_16,Restraints,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Replaced_1,Replaced_2,Replaced_3,Replaced_4,Fastrack available,Soft opening date_1,Soft opening date_2,Soft opening date_3,Soft opening date_4,Park section_17,Park section_18,Park section_19,Park section_20,Park section_21,Park section_22,Park section_23,Park section_24,Park section_25,Park section_26,Park section_27,Park section_28,Park section_29,Park section_30,Park section_31,Park section_32,Park section_33,Park section_34,Park section_35,Park section_36,Website_1,Website_2,Website_3,Website_4,Cost_5,Cost_6,Cost_7,Cost_8,Cost_9
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Walking Dead: The Ride,2012.0,Thorpe Park Resort,The Dock Yard,51°24′13″N 0°30′48″W﻿ / ﻿51.4036°N 0.5132°W,Operating,1 July 1996 (X:/ No Way Out) 31 March 2018 (The Walking Dead: The Ride),General statistics,,Vekoma,Vekoma,Enigma,Modified Enigma,Drive tire lift hill,41.7 ft (12.7 m),32 ft (9.8 m),"1,312.3 ft (400.0 m)",27.7 mph (44.6 km/h),2:00,,700 riders per hour,2.4,The Walking Dead: The Ride,"The ride opened as X:\ No Way Out on July 1, 1996, as Thorpe Park's first non-powered roller coaster. It was marketed as the ""world's first backwards roller coaster in the dark"" and featured an elaborate queue system through multiple interactive themed rooms, such as a trommel tunnel, ""decontamination"" area and illusionary rooms. The ride was themed to, and starred, a computer virus that infected the power supply of Thorpe Park, thus sending the trains backward. The ride's cyberpunk theme was drastically toned down after the 2001 season when most of the interior rooms became disused, and many in-ride effects removed. In March 2013 the ride underwent further significant changes, which removed the remnants of the computer horror theme and shortened its name simply to 'X'. The trains were refurbished by Vekoma to now run forwards, to resolve the common issue of motion sickness. The addition of lighting and lasers from 2013 onwards removes the pitch black darkness that riders originally rode in. In the exit queue line, there was a 5 ft-long model of an Eveready AA battery labelled 'Thorpe Park Power Supply'; this was removed in 2013.
The ride layout has also had many features removed since its opening. There is an on-ride photo camera which allowed riders to purchase their on-ride photo; this was removed in 2005 and replaced in 2019. The lift hill of the ride had multi-coloured flashing LED light strips added in 2000; these were removed in 2013.",,0,5 trains with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,,,,,140 cm (4 ft 7 in),,,,,,,,,,,,,,,,,,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastrack available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild Thing,1996.0,Valleyfair,South Midway,44°47′54.8″N 93°27′31.4″W﻿ / ﻿44.798556°N 93.458722°W,Operating,"May 11, 1996",General statistics,Steel,D. H. Morgan Manufacturing,Steve Okamoto,Hypercoaster,Out and Back,Chain-lift,207 ft (63 m),196 ft (60 m),"5,460 ft (1,660 m)",75 mph (121 km/h),3:00,60°,"1,700 riders per hour",4.1,Wild Thing (Valleyfair),"After the success of Magnum XL-200 at Cedar Point, Valleyfair's parent company Cedar Fair planned a new roller coaster for Valleyfair's sister park Dorney Park & Wildwater Kingdom. However, Dorney Park could not secure the necessary permits for the ride, so Cedar Fair switched the recipient of the new coaster to Valleyfair. The move to Valleyfair was officially announced on August 25, 1995, revealing that it would be named Wild Thing. D. H. Morgan Manufacturing was hired to build the new hypercoaster, a roller coaster that exceeds 200 feet (61 m) in drop height or overall height. Wild Thing officially opened on May 11, 1996.",,0,3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,,,,"$9,500,000 USD",48 in (122 cm),,,,,,,,,,,,,,,,,,,Fast Lane available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcat's Revenge,1996.0,Hersheypark,Midway America,40°17′33″N 76°39′21″W﻿ / ﻿40.29250°N 76.65583°W,Operating,"June 2, 2023",General statistics,Steel,Rocky Mountain Construction,Joe Draves,I-Box Track,Twister,Chain lift hill,140 ft (43 m),135[1] ft (41 m),"3,510 ft (1,070 m)",62 mph (100 km/h),2:36,82°,,,Wildcat (Hersheypark),,,4,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Wildcat,,,,48 in (122 cm),Official website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sand Serpent,1996.0,,,,,,General statistics,Steel – Wild Mouse,Mack Rides,Werner Stengel,Wild Maus,,Chain lift hill,45.9 ft (14.0 m),,"1,213.9 ft (370.0 m)",28 mph (45 km/h),1:50,,,,Wilde maus,"In December 1995, Busch Gardens Williamsburg announced Wild Izzy, a Mack Rides Wild Mouse roller coaster, would be added to the park for the 1996 season in the Oktoberfest section. It was named after the mascot of the 1996 Summer Olympics, since Busch Gardens was a sponsor of the games. Originally in January, it was reported that Wild Izzy would open later in March. Though in March, the roller coaster was announced to open in April. Wild Izzy officially opened on April 12. After the 1996 season, it was given a European theme and renamed to Wilde Maus.In November 2003, filings by the park for a new attraction were uncovered in James City County that would replace the Wilde Maus roller coaster. After seven years of operation at Busch Gardens Williamsburg, the roller coaster closed in 2003 where it was removed and replaced with the defunct dark ride, Curse of DarKastle in 2005. In December 2003, the St. Petersburg Times reported that the Wilde Maus would be shipped to Busch Gardens Tampa Bay in January 2004 and be renamed to Cheetah Chase. The roller coaster opened on February 28, in the Timbuktu section of the park.Cheetah Chase replaced the defunct Crazy Camel flat ride that opened up with the Timbuktu section of the park in 1980. In 2011, the ride was rethemed from Cheetah Chase to Sand Serpent. This was done to reduce confusion with the park's new attraction, Cheetah Hunt. The roller coaster is situated in the Pantopia section of the park, which was renamed with the introduction of Falcon's Fury, the park's signature drop tower. Busch Gardens announced in June 2023 that Sand Serpent would close the next month for a new attraction. Sand Serpent closed on July 9, 2023.",,,,Crazy Camel,,,,,,28°02′19″N 82°25′21″W﻿ / ﻿28.038523°N 82.422389°W,37°14′06″N 76°38′42″W﻿ / ﻿37.235°N 76.645°W,Removed,Removed,"February 28, 2004","April 12, 1996",28°02′19″N 82°25′21″W﻿ / ﻿28.038523°N 82.422389°W,37°14′06″N 76°38′42″W﻿ / ﻿37.235°N 76.645°W,Removed,Removed,"February 28, 2004","April 12, 1996",,"July 9, 2023",2003,"July 9, 2023",2003,,,,,,,,,,,,,,,,,,,,,,,,,Pantopia,Oktoberfest,Pantopia,Oktoberfest,,,,Phoenix Rising,Curse of DarKastle,,,,,,,,,,,,,,,,,,,,Phoenix Rising,Curse of DarKastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Boomerang: Coast to Coaster,1997.0,,,,,,General statistics,Steel – Shuttle – Boomerang,Vekoma,Vekoma,Boomerang,,Chain lift hill,116.5 ft (35.5 m),,935 ft (285 m),47 mph (76 km/h),1:48,65°,760 riders per hour,5.2,Boomerang: Coast to Coaster,History section not found,,3,,,,,"$5, 000,000",48 in (122 cm),,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,Operating,"March 13, 1999","May 16, 1998",38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,Operating,Operating,"March 27, 1998","April 30, 1999",,,,,,,,,,,,,,,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,Operating,"March 13, 1999","May 16, 1998",38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,Operating,Operating,Operating,"March 27, 1998","April 30, 1999","March 13, 1999",Los Festivales,Sky,Los Festivales,Sky,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,"May 16, 1998",,,38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,Operating,Operating,Operating,Operating,Operating,"March 27, 1998","April 30, 1999","March 13, 1999","May 16, 1998","March 27, 1998",,,,,,,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,,,,,Operating,,,,,"April 30, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Boomerang: Coast to Coaster,1998.0,,,,,,General statistics,Steel – Shuttle – Boomerang,Vekoma,Vekoma,Boomerang,,Chain lift hill,116.5 ft (35.5 m),,935 ft (285 m),47 mph (76 km/h),1:48,65°,760 riders per hour,5.2,Boomerang: Coast to Coaster,History section not found,,3,,,,,"$5, 000,000",48 in (122 cm),,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,Operating,"March 13, 1999","May 16, 1998",38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,Operating,Operating,"March 27, 1998","April 30, 1999",,,,,,,,,,,,,,,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,Operating,"March 13, 1999","May 16, 1998",38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,Operating,Operating,Operating,"March 27, 1998","April 30, 1999","March 13, 1999",Los Festivales,Sky,Los Festivales,Sky,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,"May 16, 1998",,,38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,Operating,Operating,Operating,Operating,Operating,"March 27, 1998","April 30, 1999","March 13, 1999","May 16, 1998","March 27, 1998",,,,,,,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,,,,,Operating,,,,,"April 30, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Boomerang: Coast to Coaster,1999.0,,,,,,General statistics,Steel – Shuttle – Boomerang,Vekoma,Vekoma,Boomerang,,Chain lift hill,116.5 ft (35.5 m),,935 ft (285 m),47 mph (76 km/h),1:48,65°,760 riders per hour,5.2,Boomerang: Coast to Coaster,History section not found,,3,,,,,"$5, 000,000",48 in (122 cm),,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,Operating,"March 13, 1999","May 16, 1998",38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,Operating,Operating,"March 27, 1998","April 30, 1999",,,,,,,,,,,,,,,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,Operating,"March 13, 1999","May 16, 1998",38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,Operating,Operating,Operating,"March 27, 1998","April 30, 1999","March 13, 1999",Los Festivales,Sky,Los Festivales,Sky,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,Operating,"May 16, 1998",,,38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,29°35′54″N 98°36′39″W﻿ / ﻿29.598327°N 98.610735°W,42°55′49″N 78°23′04″W﻿ / ﻿42.930275°N 78.384400°W,38°08′23″N 122°14′08″W﻿ / ﻿38.139674°N 122.235574°W,Operating,Operating,Operating,Operating,Operating,"March 27, 1998","April 30, 1999","March 13, 1999","May 16, 1998","March 27, 1998",,,,,,,39°44′54″N 105°00′52″W﻿ / ﻿39.748369°N 105.014343°W,,,,,Operating,,,,,"April 30, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Lantern,1997.0,,Boardwalk,,,,General statistics,Steel – Stand-up,Bolliger & Mabillard,Werner Stengel,Stand-Up Coaster,,Chain lift hill,154 ft (47 m),144 ft (44 m),"4,155 ft (1,266 m)",63 mph (101 km/h),2:30,45°,"1,556 riders per hour",,Chang (roller coaster),,"September 19, 2009",5,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Great American Scream Machine,Hurricane Bay,,$12 million,54 in (137 cm),,40°08′23″N 74°26′18″W﻿ / ﻿40.13983°N 74.43835°W,38°11′42″N 85°44′49″W﻿ / ﻿38.195°N 85.747°W,Operating,Removed,"May 25, 2011","April 4, 1997",40°08′23″N 74°26′18″W﻿ / ﻿40.13983°N 74.43835°W,38°11′42″N 85°44′49″W﻿ / ﻿38.195°N 85.747°W,Operating,Removed,"May 25, 2011","April 4, 1997",,,,,,,,,,,,,Single rider line available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash Pass available,"May 19, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Euro-Mir,1997.0,Europa-Park,Russia,48°15′53″N 7°43′11″E﻿ / ﻿48.26472°N 7.71972°E,Operating,"June 12, 1997",General statistics,Steel – Spinning,Mack Rides,Franz Mack,,,Spiral lift,92 ft (28 m),,"3,215.3 ft (980.0 m)",49.7 mph (80.0 km/h),4:33,,1600 riders per hour,4,Euro-Mir,History section not found,,,,,,,,51 in (130 cm),Official website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Great White,1997.0,SeaWorld San Antonio,,29°27′08″N 98°41′47″W﻿ / ﻿29.452270°N 98.696517°W,Operating,February 1997,General statistics,Steel – Inverted,Bolliger & Mabillard,Werner Stengel,Inverted Coaster - Batman,,Chain lift hill,108 ft (33 m),81.2 ft (24.7 m),"2,562 ft (781 m)",50 mph (80 km/h),2:00,,1400 riders per hour,4.6,The Great White (SeaWorld San Antonio),History section not found,,5,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,,"US$21,000,000",54 in (137 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Lantern,1997.0,,Boardwalk,,,,General statistics,Steel – Stand-up,Bolliger & Mabillard,Werner Stengel,Stand-Up Coaster,,Chain lift hill,154 ft (47 m),144 ft (44 m),"4,155 ft (1,266 m)",63 mph (101 km/h),2:30,45°,"1,556 riders per hour",,Green Lantern (Six Flags Great Adventure),,"September 19, 2009",5,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Great American Scream Machine,Hurricane Bay,,$12 million,54 in (137 cm),,40°08′23″N 74°26′18″W﻿ / ﻿40.13983°N 74.43835°W,38°11′42″N 85°44′49″W﻿ / ﻿38.195°N 85.747°W,Operating,Removed,"May 25, 2011","April 4, 1997",40°08′23″N 74°26′18″W﻿ / ﻿40.13983°N 74.43835°W,38°11′42″N 85°44′49″W﻿ / ﻿38.195°N 85.747°W,Operating,Removed,"May 25, 2011","April 4, 1997",,,,,,,,,,,,,Single rider line available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash Pass available,"May 19, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Lantern,2011.0,,Boardwalk,,,,General statistics,Steel – Stand-up,Bolliger & Mabillard,Werner Stengel,Stand-Up Coaster,,Chain lift hill,154 ft (47 m),144 ft (44 m),"4,155 ft (1,266 m)",63 mph (101 km/h),2:30,45°,"1,556 riders per hour",,Green Lantern (Six Flags Great Adventure),,"September 19, 2009",5,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Great American Scream Machine,Hurricane Bay,,$12 million,54 in (137 cm),,40°08′23″N 74°26′18″W﻿ / ﻿40.13983°N 74.43835°W,38°11′42″N 85°44′49″W﻿ / ﻿38.195°N 85.747°W,Operating,Removed,"May 25, 2011","April 4, 1997",40°08′23″N 74°26′18″W﻿ / ﻿40.13983°N 74.43835°W,38°11′42″N 85°44′49″W﻿ / ﻿38.195°N 85.747°W,Operating,Removed,"May 25, 2011","April 4, 1997",,,,,,,,,,,,,Single rider line available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash Pass available,"May 19, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Invertigo,1997.0,,,,In Production,,,,Vekoma,,,,,131.3 ft (40.0 m),,"1,013.8 ft (309.0 m)",50 mph (80 km/h),1:30,,,,Invertigo (roller coaster),"The first installation of an Invertigo roller coaster occurred at Liseberg in 1997. HangOver was originally scheduled to open in 1996 as a launched roller coaster, however, the technology at the time prevented this from occurring and forced the opening back by a year. On March 21, 1998, California's Great America opened a ride known simply as Invertigo. On April 17, 1999, Face/Off opened at Kings Island. It was originally themed after the 1997 Paramount Pictures/Touchstone Pictures film of the same name. On May 8, 1999, Two Face: The Flip Side opened at Six Flags America. It was themed after DC Comics' Batman rival, Harvey Dent A.K.A. Two-Face.In 2002, HangOver at Liseberg closed and was relocated to Allou Fun Park the following year. The ride, however, was never set up there and was relocated to Sommerland Syd where it operated under the name Tornado from July 2, 2005.An accident in October 2007 closed Two Face: The Flip Side at Six Flags America indefinitely. The coaster did not reopen for the 2008 season and was sold to a park in Italy. The ride reopened as Diabolik at Movieland Park for the 2015 season.
In 2008, Face/Off at Kings Island was renamed to Invertigo following the park's initiative to remove Paramount themes from the park after being sold to Cedar Fair two years prior.On January 27, 2011, California's Great America announced that Invertigo would be removed from the park and relocated to a different Cedar Fair park. Invertigo was removed and moved into storage in Allentown, Pennsylvania. During this time, the track received a new teal paint scheme, with the supports remaining in royal blue. On August 30, 2011, Dorney Park & Wildwater Kingdom announced that Invertigo would reopen as Stinger for the park's 2012 season. Construction of the main ride was completed in November 2011, and the station and queue closely followed. An incident on May 3, 2014, resulted in a temporary closure when the coaster experienced a rollback that injured two riders – both were transported to the hospital. During the 2017 offseason, it was announced by Dorney Park that Stinger would be removed to make way for future development. The coaster was demolished in April 2018.In 2011, Sommerland Syd's installation of Tornado closed with the ride currently being relocated to Bagatelle where it operates as Triops from June 30, 2012.On February 13, 2012, Kings Island posted a picture of Invertigo getting a new paint scheme on their Facebook page. The ride was given an aqua-colored track and royal blue supports.On December 15, 2017, Dorney Park announced on their website that Stinger would be removed. The ride was scrapped prior to the 2018 operating season. After Stinger was torn down, its train was reused on Invertigo at Kings Island.",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Over-the-shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
