Name,Amusement Park,Type,Design,Status_x,Opened,City,Region,Country,Make,Length,Height,Speed,Inversions,Elements,Image URLs,Drop (ft),Duration,G-force,Max vertical angle,Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,year_introduced,Location,Park section,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics
Vuoristorata,Linnanmäki,Wood – Side friction,Sit Down,Operating,1951,Helsinki,Uusimaa,Finland,"Linnanmäki, led by Svend Jarlström","960 m (3,150 ft)",24 m (79 ft),60 km/h (37 mph),0,['Cable Lift Hill'],[],,2:15[4],,,,,,,,,,1951,Linnanmäki,,Wood – Side friction,"Linnanmäki, led by Svend Jarlström",Valdemar Lebech[3],,,Cable lift hill,24 m (79 ft),,"960 m (3,150 ft)",60 km/h (37 mph),2:15[4],,"1,320 riders per hour",,Vuoristorata,History section not found,,0,"Usually 3 and up to 4 trains with 4 cars each. Riders are arranged 2 across in 3 rows, except for the brakeman's car at the back in 2 rows, for a total of 22 riders per train.",,,
Wave Breaker: The Rescue Coaster,SeaWorld San Antonio,Steel – Launched – Motorbike,Sit Down,Operating,2017,San Antonio,Texas,United States,Intamin,"2,600 ft (790 m)",61 ft (19 m),44 mph (71 km/h),0,"['Tire Propelled Launch', 'Tire Propelled Boost']",[],,,,,,,,,,,,2017,SeaWorld San Antonio,,Steel – Launched – Motorbike,Intamin,SeaWorld Parks & Entertainment,Family Launch Coaster,Out and Back,,61 ft (19 m),,"2,600 ft (790 m)",44 mph (71 km/h),,,886 riders per hour,,Wave Breaker: The Rescue Coaster,History section not found,,0,3 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,,
West Coast Racers,Six Flags Magic Mountain,Steel – Launched,Sit Down,Operating,2020,Valencia,California,United States,Premier Rides,"4,000 ft (1,200 m)",67 ft (20 m),55 mph (89 km/h),4,"['LSM Launch', 'High Five', 'Zero-G Stall', 'LSM Boost', 'Corkscrew', 'LSM Launch', 'High Five', 'LSM Boost', 'Corkscrew', 'Corkscrew']",[],,3:00,,,,,,,14,,,2020,Six Flags Magic Mountain,The Underground,Steel – Launched,Premier Rides,,Custom,,LSM launch,67 ft (20 m),,"4,000 ft (1,200 m)",55 mph (89 km/h),3:00,,,,West Coast Racers,"Six Flags Magic Mountain revealed West Coast Racers during a media event held at the park on August 29, 2018, along with a press release the following day. Park president Neal Thurman and West Coast Customs Founder and CEO Ryan Friedlinghaus announced their partnership in the design of the roller coaster, which was touted as having a record-breaking four magnetic launches. It would also feature four inversions – three zero-g rolls and one zero-g stall – along with 30 train interactions, which includes 14 track crossings and one ""high-five"" element across two laps around the course. The coaster would reach a maximum speed of 55 mph (89 km/h) and feature a number of airtime hills and overbanked turns that will occur side-by-side. West Coast Racers was originally marketed as the park's 20th coaster, but with the planned removal of Green Lantern: First Flight after the 2019 season, the park's total number of coasters remained at 19.Construction began months behind schedule in May 2019 following a delayed delivery of finished track. The first pieces arrived reportedly later than expected in February 2019. Six Flags did not release an expected opening date, but Theme Park Insider estimated fall 2019 based on the delayed start. A construction update in July 2019 showed a significant amount of work left to complete. In October 2019, a writer for USA Today said, ""Speaking of Magic Mountain, the Los Angeles-area park has not revealed anything new for 2020. It still has yet to debut West Coast Racers...""On December 12, 2019, it was announced West Coast Racers would operate during a series of preview events beginning on December 21, 2019. Access was given first to guests with select membership status, and on December 23, 2019, access was given to season pass holders, along with guests who purchased either a West Coast Racers t-shirt or the park's flash pass. The ride officially opened to the general public on January 9, 2020.",,4,3 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,,,
Whirl Pool Dips,Tolchester Beach Park,Wood,Sit Down,Removed,1913,Chestertown,Maryland,United States,,,,,,,[],,,,,,,,,,,,1913,Tolchester Beach Park,,Wood,,,,,,,,,,,,,,Whirl Pool Dips,History section not found,1959,,,,,
Wicked Cyclone,Six Flags New England,Steel,Sit Down,Operating,2015,Agawam,Massachusetts,United States,Rocky Mountain Construction,"3,320 ft (1,010 m)",109 ft (33 m),55 mph (89 km/h),3,"['Chain Lift Hill', 'Zero-G Stall', 'Zero-G Roll', 'Zero-G Roll']",[],,,,78°,,,,,,,,2015,Six Flags New England,North End,Steel,Rocky Mountain Construction,Alan Schilke,I-Box,Twister,Chain lift hill,109 ft (33 m),,"3,320 ft (1,010 m)",55 mph (89 km/h),,78°,,,Wicked Cyclone,"In 1983, Riverside Amusement Park decided to open a wooden roller coaster named the Riverside Cyclone. The ride was the second full-sized roller coaster to open at the park since its re-opening in 1940, following the installation of Thunderbolt in 1941. The $2.5 million Riverside Cyclone was designed by William Cobb & Associates and built by the Frontier Construction Company. The ride officially opened to the public on June 25, 1983, with Cobb as well as Norm Howells from Frontier Construction in attendance. The opening of Riverside Cyclone was expected to increase park attendance by more than 10% to 1 million annual visitors.During its first season of operation, Riverside Cyclone featured two trains from Philadelphia Toboggan Coasters (PTC) where riders were restrained via a lap bar. Part-way through the first season, shoulder belts were added; however, these were removed prior to its second season. During its second season, the ride's trains were damaged, forcing the park to combine parts from both trains to form a single operational train. Two new replacement trains were purchased from D. H. Morgan Manufacturing in 1985.

In the late 1990s, Premier Parks (later Six Flags) purchased Riverside Amusement Park. Over a period of four years, approximately $100 million was invested in the renovation and expansion of the park, culminating in its rebranding to Six Flags New England in 2000. As a result, the Riverside branding was dropped, with the ride being renamed to the Cyclone. The D.H. Morgan Manufacturing trains were replaced with two PTC trains. The new operators made modifications to the track in 2001, shortening the first drop by between 15 and 20 feet (4.6 and 6.1 m).A refurbishment of the Cyclone in 2011 saw Topper Track from Rocky Mountain Construction added to sections of the ride. Topper Track is steel plating that replaces the upper layers of laminated wooden track. This track style is designed to reduce the maintenance typically required for a wooden roller coaster and provide a smoother ride experience.",,3,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Cyclone,,
Wicked Twister,Cedar Point,Steel – Inverted – Launched,Inverted,Removed,2002,Sandusky,Ohio,United States,Intamin,675 ft (206 m),215 ft (66 m),72 mph (116 km/h),0,"['LIM Launch (multi-pass)', 'Twisted Vertical Rollback', 'Twisted Vertical Rollback']",[],206,,,90°,,,,,,,206 ft (63 m),2002,Cedar Point,,Steel – Inverted – Launched,Intamin,Werner Stengel,Twisted Impulse Coaster,,LIM Launch track,215 ft (66 m),206 ft (63 m),675 ft (206 m),72 mph (116 km/h),,90°,1000 riders per hour,,Wicked Twister,"Construction on Wicked Twister began on October 15, 2001, shortly after Stadium Games, formerly known as the Aquarium, was razed. The new coaster was officially announced the following month, and its media day was held on May 2, 2002.Built as the tallest and fastest double-twisting impulse coaster ever built, Wicked Twister actually opened as the tallest and fastest inverted coaster in the world on May 5, 2002. It held both records until the opening of Legendary Twin Dragon at Chongqing Sunac Land in China in 2021. Additional supports were added to the ride's structure for the 2003 season. Two yellow supports were added to each spike to connect the track to the top of the main support structure.

In May 2021, park official Tony Clark implied in a series of tweets that Wicked Twister was going to be retired. This was confirmed on August 6, 2021, when Cedar Point officially announced the closure of Wicked Twister, scheduled for September 6, 2021. The ride then closed September 7, and on its last day of operation, park employees handed out ""last launch"" buttons to riders, sold limited-edition commemorative t-shirts, and gave away 16 ""golden tickets"" granting winners a spot on the last public train. Wicked Twister had accumulated over 16 million rides in 20 seasons of operation.On November 3, 2021, Cedar Point announced that Wicked Twister would be demolished. Demolition and removal was completed on February 8, 2022.After the closure of Wicked Twister, Cedar Point lost the record for most rollercoasters at any amusement park in the Cedar Fair chain to sister park Canada's Wonderland in Vaughan, Ontario.","September 7, 2021",0,Single train with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Aquarium,Wild Mouse,
Wildcat's Revenge,Hersheypark,Steel,Sit Down,Operating,2023,Hershey,Pennsylvania,United States,Rocky Mountain Construction,"3,510 ft (1,070 m)",140 ft (43 m),62 mph (100 km/h),4,"['Chain Lift Hill', 'Step-Up Under Flip', 'Zero-G Stall', 'Zero-G Roll', 'Zero-G Roll']",[],,2:36,,82°,,,,,,,135[1] ft (41 m),2023,Hersheypark,Midway America,Steel,Rocky Mountain Construction,Joe Draves,I-Box Track,Twister,Chain lift hill,140 ft (43 m),135[1] ft (41 m),"3,510 ft (1,070 m)",62 mph (100 km/h),2:36,82°,,,Wildcat's Revenge,,,4,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Wildcat,,
Wild Eagle,Dollywood,Steel – Wing Coaster,Wing,Operating,2012,Pigeon Forge,Tennessee,United States,Bolliger & Mabillard,"3,127 ft (953 m)",,61 mph (98 km/h),4,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Immelmann', 'Corkscrew']",[],135,2:22,,,,,,,,,135 ft (41 m),2012,Dollywood,Wilderness Pass,Steel – Wing Coaster,Bolliger & Mabillard,,Wing Coaster,,Chain lift hill,,135 ft (41 m),"3,127 ft (953 m)",61 mph (98 km/h),2:22,,,,Wild Eagle,"Speculation of Wild Eagle began in March 2011 when plans to discuss Dollywood's 2012 attraction were submitted to the Pigeon Forge Planning Commission. On March 24, 2011, those plans were approved and though city officials could not tell exactly what the plans were, some believed it looked to be a roller coaster. By early June, blue Bolliger & Mabillard roller coaster track pieces had already arrived at Dollywood. On September 4, 2011, Wild Eagle was officially announced to the public as the first wing coaster to open in the United States. On October 7, 2011, the lift hill was completed, and by the end of October 2011, the track layout was complete. On February 28, 2012, Dollywood unveiled a steel sculpture of an eagle with a wing span of 42 feet (13 m) and a total weight of 8,000 pounds (3,600 kg) that would be placed near the entrance of the ride. The ride soft opened to the media on March 23, 2012, before officially opening to the public on March 24, 2012.",,4,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,,
Wilde Beast,Canada's Wonderland,Wood,Sit Down,Operating,1981,Vaughan,Ontario,Canada,Taft Broadcasting Company,"960 m (3,150 ft)",25 m (82 ft),90 km/h (56 mph),0,['Chain Lift Hill'],[],78,3:00,,,,,,,,,23.8 m (78 ft),1981,Canada's Wonderland,Medieval Faire,Wood,Taft Broadcasting Company,Curtis D. Summers,,Out and Back/Figure 8,Chain lift hill,25 m (82 ft),23.8 m (78 ft),"960 m (3,150 ft)",90 km/h (56 mph),3:00,,,,Wilde Beast,"The ride is a double out-and-back coaster encompassing a figure 8 design. The ride was designed by Curtis D. Summers but is based on the original Coney Island Wildcat designed by Herbert Schmeck. It was constructed in-house under the direction of Summers. The coaster was not built by PTC despite a plaque at the operator's booth and several published reports that claim it was. PTC stopped building coasters in 1979. However, it is likely that the construction crew consisted of workers who had previously built coasters for PTC. The two 28-passenger trains were supplied by the Philadelphia Toboggan Coasters. Unlike the three-row PTC trains on Mighty Canadian Minebuster, Wilde Beast utilizes shorter two-row cars that are designed to better negotiate turns.
Curtis D. Summers continued to use this design at other Taft-owned parks including Kings Dominion in Virginia where the coaster, which opened in 1982, is known as Grizzly. Though similar in layout, the ride was tempered when reproduced as The Bush Beast at Wonderland Sydney in 1985 and at California's Great America as Grizzly in 1986.The coaster was featured in the Fraggle Rock episode ""The Thirty-Minute Work Week"", where Uncle Travelling Matt took a ride on it, as he mistook it for a form of transportation. Puppeteer Dave Goelz has a cameo in the scene as the man next to Matt.
In 2015, the track was partially reconstructed after the first hill to create a smoother ride experience.",,0,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,
Wilderness Run,Cedar Point,Steel,Sit Down,Operating,1979,Sandusky,Ohio,United States,Intamin,443 ft (135 m),19 ft (5.8 m),6 mph (9.7 km/h),0,['Chain Lift Hill'],[],,0:50,,,,,,,,,,1979,Cedar Point,Camp Snoopy,Steel,Intamin,,Children's coaster,,Chain lift hill,19 ft (5.8 m),,443 ft (135 m),6 mph (9.7 km/h),0:50,,,,Wilderness Run,History section not found,,0,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,
Wild Rider,Six Flags Great Adventure,Steel,Sit Down,Removed,1978,Jackson,New Jersey,United States,Anton Schwarzkopf,,,,,,[],,,,,,,,,,,,1978,Six Flags Great Adventure,Enchanted Forest,Steel,Anton Schwarzkopf,Werner Stengel,Wildcat - Unknown,,,,,,,,,,,Wild Rider,History section not found,1980,,,Big Fury,,
Wolverine Wildcat,Michigan's Adventure,Wood,Sit Down,Operating,1988,Muskegon,Michigan,United States,Dinn Corporation,"3,000 ft (910 m)",85 ft (26 m),55 mph (89 km/h),0,['Chain Lift Hill'],[],,2:00,,50°,,,,,,,78 ft (24 m),1988,Michigan's Adventure,Timbertown,Wood,Dinn Corporation,Curtis D. Summers,Sit Down,Double Out and Back,Chain Lift,85 ft (26 m),78 ft (24 m),"3,000 ft (910 m)",55 mph (89 km/h),2:00,50°,700 riders per hour,,Wolverine Wildcat,History section not found,,0,Single train with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,,
Wonder Mountain's Guardian,Canada's Wonderland,Steel,Sit Down,Operating,2014,Vaughan,Ontario,Canada,ART Engineering,"304.8 m (1,000 ft)",18.3 m (60 ft),,0,"['Chain Lift Hill', 'Vertical Drop Track']",[],,3 minutes and 30 seconds,,,,,,,,,,2014,Canada's Wonderland,International Festival - Wonder Mountain,Steel,ART Engineering,Triotech,4D Interactive Dark Ride,,Chain lift hill,18.3 m (60 ft),,"304.8 m (1,000 ft)",,3 minutes and 30 seconds,,650 riders per hour,,Wonder Mountain's Guardian,"Canada's Wonderland's first interactive dark ride was Scooby-Doo's Haunted Mansion (renamed Boo Blasters on Boo Hill after Cedar Fair's purchase of the park), which opened in 2000. It was designed by Sally Corporation and relies entirely on physical sets and theming rather than projected animations, and uses basic, moving props. About four years later, park management began discussing the addition of a new attraction inside Wonder Mountain. The technology available at the time meant the cost of building a more advanced dark ride was too expensive for a regional amusement park. In 2011, as technology improved and the costs decreased, the park started planning a second interactive dark ride. Several companies were contacted to design the audio-visual portion of the future ride; park management chose Triotech to do so.Speculation that Canada's Wonderland would build a new attraction for the 2014 season began at the end of July 2013 when maintenance work on the western side of Wonder Mountain was discovered. On August 8, Cedar Fair confirmed an interactive dark ride would be built at one of the company's parks. Wonderland officially announced Wonder Mountain's Guardian—a ten million-dollar attraction—on August 30, 2013, on Breakfast Television, a morning news program for the Toronto area. During the International Association of Amusement Parks and Attractions (IAAPA) Attractions Expo 2013, the characters of the ride were revealed during president and CEO of Cedar Fair Matt Ouimet's keynote address.The first pieces of track and other parts from Germany arrived at the park in mid-January 2014. A month later, installation of the track began inside the mountain. By the end of February, erection of the framing for the 3D screens began. By the beginning of March, support columns for the outside portion of the ride were installed. The lift hill was completed at the beginning of April. The park opened to the public on May 4 but the opening of Guardian was delayed. On May 24, the park announced that the ride had opened. The entire project involved 10 contractors and at least 47 workers.On November 7, 2013, Cedar Fair announced that during Halloween Haunt, Guardian would be altered to a zombie-themed ride. The name of this version of the attraction was later revealed to be Zombies 4D.",,0,5 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,,,
Wonder Woman Flight of Courage,Six Flags Magic Mountain,Steel – Single-rail,Sit Down,Operating,2022,Valencia,California,United States,Rocky Mountain Construction,"3,300 ft (1,000 m)",131 ft (40 m),58 mph (93 km/h),3,"['Chain Lift Hill', 'Dive Loop', 'Zero-G Stall', 'Zero-G Roll']",[],,,,87°,,,,,,,127 ft (39 m),2022,Six Flags Magic Mountain,DC Universe,Steel – Single-rail,Rocky Mountain Construction,,Raptor Track,Custom,Chain lift hill,131 ft (40 m),127 ft (39 m),"3,300 ft (1,000 m)",58 mph (93 km/h),,87°,,,Wonder Woman Flight of Courage,"On October 21, 2021, Wonder Woman Flight of Courage was announced by Six Flags Magic Mountain, along with the opening year of 2022. The roller coaster is located at the former site of two attractions; Green Lantern: First Flight and Tidal Wave. The new ride also reuses the former Green Lantern: First Flight station.Construction of the attraction had begun two months before the announcement in August 2021 with land clearing. Track pieces had already arrived around the same time.Wonder Woman Flight of Courage opened on July 16, 2022.",,3,4 trains with 12 cars. Riders are arranged 1 across in a single row for a total of 12 riders per train.,Green Lantern: First Flight Tidal Wave,,
Wonder Woman Golden Lasso Coaster,Six Flags Fiesta Texas,Steel,Sit Down,Operating,2018,San Antonio,Texas,United States,Rocky Mountain Construction,"1,800 ft (550 m)",113 ft (34 m),52 mph (84 km/h),3,"['Chain Lift Hill', 'Dive Loop', 'Cutback', 'Corkscrew', 'Over-Banked Curve']",[],100,,,90°,,,,,,,100 ft (30 m),2018,Six Flags Fiesta Texas,Rockville,Steel,Rocky Mountain Construction,Alan Schilke,Raptor – Prototype,,Chain lift hill,113 ft (34 m),100 ft (30 m),"1,800 ft (550 m)",52 mph (84 km/h),,90°,600 riders per hour,,Wonder Woman Golden Lasso Coaster,"Six Flags Fiesta Texas announced the closure of Power Surge in mid-summer 2017. Power Surge was closed on July 23, 2017. The park began teasing a new attraction for the 2018 season and on August 3, 2017, the park officially announced a first of its kind roller coaster, introducing the new Rocky Mountain Construction single-rail coaster concept.The roller coaster was originally planned to open on March 10, 2018, with a soft opening a week prior for an added bonus to the park's inaugural Botánica Music Festival. However, it was delayed twice until opening in May.The coaster closed on July 5th 2023 for a 2-Phase refurbishment. The ride is set to reopen in late 2023 once phase 1 of the refurbishment is complete, but will close again in 2024 where the coaster will receive new trains.",,3,3 trains with 8 cars. Riders are arranged 1 across in a single row for a total of 8 riders per train.,Power Surge,,
Wooden Warrior,Quassy Amusement Park,Wood,Sit Down,Operating,2011,Middlebury,Connecticut,United States,The Gravity Group,"1,200 ft (370 m)",35 ft (11 m),35 mph (56 km/h),0,"['Chain Lift Hill', 'Tunnel']",[],36,,,48.5°,,,45,9,,51,45 ft (14 m),2011,Quassy Amusement Park,,Wood,The Gravity Group,,,,Chain Lift Hill,35 ft (11 m),45 ft (14 m),"1,200 ft (370 m)",35 mph (56 km/h),,48.5°,,,Wooden Warrior,,,0,6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,
Xcelerator,Knott's Berry Farm,Steel – Launched,Sit Down,Operating,2002,Buena Park,California,United States,Intamin,"2,202 ft (671 m)",205 ft (62 m),82 mph (132 km/h),0,"['Hydraulic Launch', 'Top Hat - Outside']",[],,1:02,,90°,,,,,,,,2002,Knott's Berry Farm,,Steel – Launched,Intamin,Werner Stengel,Accelerator Coaster,,Hydraulic launch,205 ft (62 m),,"2,202 ft (671 m)",82 mph (132 km/h),1:02,90°,1330 riders per hour,,Xcelerator,"Following the demise of the short-lived Windjammer Surf Racers, a dueling roller coaster plagued with issues surrounding its design and operation, Knott's Berry Farm announced its replacement in December 2001. The park hired Intamin to build and design a new roller coaster called Xcelerator, the company's first hydraulically-launched roller coaster, which uses pressurized oil and a series of hydraulic fluid chambers to rapidly propel a coaster train along a straight section of track. The total cost was $13 million. Intamin pioneered the hydraulic technology used on Xcelerator, which would later be built on a larger scale on future record-breaking rides, including Top Thrill Dragster at Cedar Point and Kingda Ka at Six Flags Great Adventure. The ride was originally scheduled to open in May 2002, but the opening was delayed to June 22, 2002.In May 2004, California investigators asked that Knott's Berry Farm temporarily close Xcelerator, and that the nearby Six Flags Magic Mountain close Superman: Escape from Krypton, because the T-bar restraint systems used by both rides were potentially defective. This was due to three incidents where people died after falling out of the restraints, including Superman – Ride of Steel at Six Flags New England. The rides were closed on June 2, 2004, so the necessary modifications could be made; Xcelerator reopened at the end of the month. After an incident in 2009, the ride was closed while it underwent investigation; it reopened in April 2010.Xcelerator was closed in July 2017 for maintenance. The ride eventually reopened in March 2018. It closed near the end of October 2021 for a new coat of paint; the ride now has the colors red, gray, orange, and yellow. Xcelerator closed again in mid-March 2022 due to a delayed shipment of a part. The park later announced that the ride would be reopening during the summer of 2023. However, On September 21, 2023, Xcelerator ""went dark"" after something broke while testing leaving an unknown reopening date. The ride reopened on November 7th 2023.",,0,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Windjammer Surf Racers,,
XLR-8,Six Flags AstroWorld,Steel – Suspended,Suspended,Removed,1984,Houston,Texas,United States,Arrow Dynamics,"3,000 ft (910 m)",81 ft (25 m),34.1 mph (54.9 km/h),0,"['Chain Lift Hill', 'Chain Lift Hill']",[],,3:00,,,,,,,,,,1984,Six Flags AstroWorld,,Steel – Suspended,Arrow Dynamics,,Suspended Coaster,,,81 ft (25 m),,"3,000 ft (910 m)",34.1 mph (54.9 km/h),3:00,,,,XLR-8,,"October 30, 2005",0,,,,
Xpress: Platform 13,Walibi Holland,Steel – Launched,Sit Down,Operating,2000,Biddinghuizen,Flevoland,Netherlands,Vekoma,"3,267 ft (996 m)",85 ft (26 m),55.9 mph (90.0 km/h),3,"['LSM Launch', 'Sea Serpent', 'Corkscrew']",[],,100 seconds,,,,,,,,,,2000,Walibi Holland,Hollywood The Main Street,Steel – Launched,Vekoma,,LSM Launch,,LSM,85 ft (26 m),,"3,267 ft (996 m)",55.9 mph (90.0 km/h),100 seconds,,1200 riders per hour,,Xpress: Platform 13,"The Xpress / Superman was initially to be called ""Riddler's Revenge"" and was painted green at the factory. Shortly before the ride was installed, it was decided that Europeans know of Batman, but not necessarily all of the related villains. So the track was repainted with red and blue supports and given a Superman theme. The station was given the theme of the Daily Planet offices.
The ride was launched in April 2000 in the theme park Six Flags Holland. Following the sale of all of Six Flags' European parks in 2004, the park was changed to Walibi World just before the beginning of the 2005 season. Any references to Looney Tunes and DC Comics characters had to be removed from the park before opening day. The name of Superman The Ride was changed to Xpress.
The Xpress has nearly the same track layout as the ""Rock 'n' Roller Coaster"" models at Disney Parks. The Xpress' layout is a bit more spacious to compensate for a higher speed launch due to the trains being lighter without the musical hardware.
In 2011, small cracks were found in the stators, and their metal inside started to rust. New stators were ordered, and were delivered in February 2012. Therefore, the coaster was standing but not operating for the whole 2011 season. In August 2011, Walibi Holland decided to re-paint the track, to get rid of the old Superman colors (Black track and Grey supports.). Xpress Reopened In April 2012.
In September 2013, P&P Projects began working on a renovation of the ride set to reopen in 2014.In 2014, the ride was reopened as Xpress Platform 13 with a new theme based on a backstory about a forbidden subway station. The guests walk through this subway station as they enter the ride, which starts out as a normal subway station but gets darker and more horror-based as the guests progress towards the actual ride entrance.


== References ==",,3,,,,
Yankee Cannonball,Canobie Lake Park,Wood – Out and back,Sit Down,Operating,1930,Salem,New Hampshire,United States,Philadelphia Toboggan Coasters,"609.6 m (2,000 ft)",19.8 m (65 ft),56.3 km/h (35.0 mph),0,,[],,,,,,,,,,,19.4 m (64 ft),1930,Canobie Lake Park,,Wood – Out and back,Philadelphia Toboggan Coasters,Herbert Paul Schmeck,,,Chain lift hill,19.8 m (65 ft),19.4 m (64 ft),"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),,,,,Yankee Cannonball,"The roller coaster was designed by Herbert Paul Schmeck of the Philadelphia Toboggan Coasters. Its serial number is 86. In 1930, it was installed under the name ""Roller Coaster"" at Lakewood Park in Waterbury, Connecticut. Frank F. Hoover oversaw the construction. The coaster operated in Connecticut for only five years before being closed and moved to Canobie Lake Park. It was rechristened the ""Greyhound"" in 1936 through the 1970s. and then eventually it was renamed the ""Yankee Cannonball"" in 1983. The name is in commemoration of the American Civil War. The coaster's train colors were originally blue and gray, representing the Union and Confederate sides of the conflict, all being united on the ride's red, white, and blue superstructure.
When the ride was moved to Canobie in 1936, each section was shortened by six inches to help it fit the area planned for it. The rethemed ride opened for the 1936 season and has operated continuously since, though the lift hill was destroyed by Hurricane Carol in 1954, and it was closed for repair during the following season.
The coaster's coloring has been altered since 1936 with retracking work done on the coaster. Some of this retracking was completed by Martin & Vleminckx. As of the 2009 season, the ride superstructure is white with orange handrails. One train is colored red, white, and blue, while the other is hunter green and orange. The coaster is one of the first rides seen when entering the park's parking lot. On June 20, 2013, the Yankee Cannonball was awarded the prestigious Coaster Landmark Award by ACE for its historical significance, thus cementing its status as a historic, cultural treasure.  Recently, they had expanded the queue line to fit more people due to the popularity of this ride.",,0,1 (used to have 2) trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,,
Yukon Striker,Canada's Wonderland,Steel – Dive Coaster,Sit Down,Operating,2019,Vaughan,Ontario,Canada,Bolliger & Mabillard,"1,104.9 m (3,625 ft)",68 m (223 ft),130 km/h (81 mph),4,"['Chain Lift Hill', 'Tunnel', 'Immelmann', 'Zero-G Winder', 'Loop', 'Immelmann', 'Block Brake', 'Helix']",[],245,3:25,,90°,,,,,,,74.7 m (245 ft),2019,Canada's Wonderland,Frontier Canada,Steel – Dive Coaster,Bolliger & Mabillard,,Dive Coaster,,Chain lift hill,68 m (223 ft),74.7 m (245 ft),"1,104.9 m (3,625 ft)",130 km/h (81 mph),3:25,90°,"1,329 riders per hour",,Yukon Striker,"Following the park's removal of SkyRider, Canada's Wonderland began preparations for a new ride. In 2014, the park requested a geotechnical investigation of the area, extracting soil samples to assess building a roller coaster's concrete foundation. On 19 December 2017, Canada's Wonderland filed an application for a permit to build nine support footers on the water and amend the waterway with a tunnel travelling under the pond within the park. A permit was required from the Toronto and Region Conservation Authority (TRCA), as parts of the ride, and the pond beneath it, fall within the Don River watershed. The application was approved by the TRCA on 9 January 2018, with construction on the ride's foundations beginning later that month.
The diversionary channel was built under the pond in order to facilitate the creation of the underwater tunnel, as well as prevent silt runoff downstream. Construction for the diversionary channel, as well as the ride's underwater tunnel, required the temporary removal of two track pieces and a few supports belonging to Vortex, a roller coaster adjacent to Yukon Striker. Work on the tunnel was completed before the park opened for 2018, with the installation of four track pieces and two water pumps to pump rainwater out of the tunnel. With the tunnel completed, the removed pieces from Vortex were reinstalled, allowing for Vortex to be operational by the time the park reopened for the 2018 season.In July 2018, following continuous construction during the operating season, the park began teasing a planned announcement scheduled the following month. On 15 August 2018, the roller coaster was officially introduced to the public, with renderings and details about the ride revealed. Construction for the roller coaster was completed on 4 February 2019, with the installation of the last track piece onto the 360-loop. Installation of the ride train, and landscaping of the surrounding area began after construction was completed.On 24 April 2019, seventy-two people who helped raise funds for The Hospital for Sick Children were invited to test-ride Yukon Striker. In the days that followed, members of the media from Ontario, and neighbouring Buffalo, New York, were invited to ride Yukon Striker. The ride was later opened to the general public on 3 May 2019, during the park's opening day for the 2019 season.",,4,3 trains with 3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,SkyRider,,
Zach's Zoomer,Michigan's Adventure,Wood,Sit Down,Operating,1994,Muskegon,Michigan,United States,Custom Coasters International,,,,0,['Chain Lift Hill'],[],,1:20,,40°,,,,,,,,1994,Michigan's Adventure,,Wood,Custom Coasters International,,,,Chain Lift Hill,,,,,1:20,40°,450 riders per hour,,Zach's Zoomer,History section not found,,0,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,
Switchback Railway,Coney Island,Wood,,,1884,,,,LaMarcus Adna Thompson,600 ft (180 m),50 ft (15 m),6 mph (9.7 km/h),,,,,1:00,2.9,30°,,,,,,,43 ft (13 m),1884,Coney Island,Coney Island Cyclone Site,Wood,LaMarcus Adna Thompson,LaMarcus Adna Thompson,Lift Packed,Gravity pulled coaster,gravity,50 ft (15 m),43 ft (13 m),600 ft (180 m),6 mph (9.7 km/h),1:00,30°,1600 riders per hour,2.9,Switchback Railway,History section not found,,,,,,
Flip Flap Railway,Sea Lion Park,Wood,,,1895,,,,Lina Beecher,,,,1,,,,,12,,,,,,,,,1895,Sea Lion Park,,Wood,Lina Beecher,Lina Beecher,,,,,,,,,,,12,Flip Flap Railway,History section not found,1902,1,a single car. Riders are arranged 1 across in 2 rows for a total of 2 riders per train.,,,
